Name,Category,Safety statement,Classification 1,Classification 2,Classification 3
methyl aminolevulinate,B2,"Cytotoxic agents can produce spontaneous abortion, fetal loss and birth defects.",Antineoplastic Agents,,
methyldopa,A,,Cardiovascular System,Antihypertensives,
methylene blue,D,There have been reports of haemolytic anaemia and hyperbilirubinaemia in neonates exposed to methylene blue in the amniotic cavity. ,Blood and Haemopoietic System,,
methylnaltrexone,B1,,Central Nervous System,,
methylphenidate,D,"Dosing in rabbits produced teratogenic effects at doses approximately 5 fold that in humans receiving the maximal recommended dose. Dosing to rats from early pregnancy until weaning reduced offspring weight and marginal alterations in neuromotor performance in offspring at doses approximately 3-6 fold the maximum recommended clinical dose on a mg/m2 basis. Dosing to juvenile male and female rats from weaning through mating, pregnancy and lactation until offspring weaning, was associated with reduced body weight gain and motor activity in males as well as reduced offspring weight and postnatal survival - at doses 1 to 3 fold that expected in adults or children given the maximum recommended clinical dose. The safety of methylphenidate for use during human pregnancy has not been established. Cases of fetal cardiac malformations have been identified in large observational studies. Methylphenidate should not be prescribed for pregnant women unless, in opinion of the physician, the potential benefits outweigh the possible risks",Central Nervous System,CNS stimulants,
methylphenobarbital,D,"The use in pregnancy of primidone, phenobarbitone or methylphenobarbitone has been associated with minor craniofacial defects, fingernail hypoplasia and developmental disability. Their use in pregnancy alone, or in combination with other anticonvulsants, can cause coagulation defects in the newborn infant which may be preventable by the prophylactic administration of vitamin K to the mother prior to delivery.  The risk of having an abnormal child as a result of antiepileptic medication is far outweighed by the dangers to the mother and fetus of uncontrolled epilepsy. 
It is recommended that:
• women on antiepileptic drugs (AEDs) receive prepregnancy counselling with regard to the risk of fetal abnormalities;
• AEDs should be continued during pregnancy and monotherapy should be used if possible at the lowest effective dose as risk of abnormality is greater in women taking combined medication;
• folic acid supplementation (5mg) should be commenced four weeks prior to and continue for twelve weeks after conception;
• Specialist prenatal diagnosis including detailed mid-trimester ultrasound should be offered.",Central Nervous System,Anticonvulsants/antiepileptics,
methylphenobarbitone (methylphenobarbital),D,"The use in pregnancy of primidone, phenobarbitone or methylphenobarbitone has been associated with minor craniofacial defects, fingernail hypoplasia and developmental disability. Their use in pregnancy alone, or in combination with other anticonvulsants, can cause coagulation defects in the newborn infant which may be preventable by the prophylactic administration of vitamin K to the mother prior to delivery.  The risk of having an abnormal child as a result of antiepileptic medication is far outweighed by the dangers to the mother and fetus of uncontrolled epilepsy. 
It is recommended that:
• women on antiepileptic drugs (AEDs) receive prepregnancy counselling with regard to the risk of fetal abnormalities;
• AEDs should be continued during pregnancy and monotherapy should be used if possible at the lowest effective dose as risk of abnormality is greater in women taking combined medication;
• folic acid supplementation (5mg) should be commenced four weeks prior to and continue for twelve weeks after conception;
• Specialist prenatal diagnosis including detailed mid-trimester ultrasound should be offered.",Central Nervous System,Anticonvulsants/antiepileptics,
methylprednisolone,A,,Endocrine System,Corticosteroids,Systemic
methylprednisolone aceponate,C,,Endocrine System,Corticosteroids,Topical
methyltestosterone,D,Anabolic steroids and other substances with androgenic effects may have a virilising effect on the female fetus and should be avoided during pregnancy.,Endocrine System,Androgens and anabolic steroids,
methysergide,C,Standard oral dose regimens for migraine headaches in the first half of pregnancy do not appear to pose hazards to the fetus. Ergotamine induces uterine contraction and may therefore cause premature parturition or hypertonic labour. Larger doses or more frequent use may jeopardise the fetus because of the potential for impeding fetal blood supply.,Cardiovascular System,Antimigraine preparations,
metoclopramide,A,,Central Nervous System,"Antiemetics, antinauseants",
metolazone,C,"Thiazides, related diuretics and loop diuretics may cause electrolyte disturbances in the fetus. Neonatal thrombocytopenia has been reported with thiazides and related diuretics. Loop diuretics, like frusemide and bumetanide, are probably also associated with this risk. During the latter part of pregnancy products of this type should only be given on sound indications, and then in the lowest effective dose.",Cardiovascular System,Diuretics,"Thiazides, related diuretics and loop diuretics"
metoprolol,C,Beta-adrenergic blocking agents may cause pharmacological effects such as bradycardia in the fetus and newborn infant. ,Cardiovascular System,Beta-adrenergic blocking agents,
metronidazole,B2,,Antimicrobials,Antibiotics,
metyrapone,B3,,Diagnostic Agents,Pituitary-adrenal response test,
mexiletine,B1,,Cardiovascular System,Antiarrhythmics,
mezlocillin,B1,,Antimicrobials,Antibiotics,Penicillins
mianserin,B2,,Central Nervous System,Antidepressants,Tetracyclic antidepressants
micafungin,B3,,Antimicrobials,Antibiotics,
miconazole,A,,Drugs used in Dermatology,"Topical antifungals, antiseptics (see also antifungal agents)",
miconazole,A,,Genitourinary System,Topical vaginal medication,
midazolam,C,"Benzodiazepines may cause hypotonia, respiratory depression and hypothermia in the newborn infant if used in high doses during labour. Withdrawal symptoms in newborn infants have been reported with prolonged use of this class of drugs.",Central Nervous System,Benzodiazepines,
midodrine hydrochloride,C,This drug has demonstrated embryofetal harm and lethality in animals.,Cardiovascular System,,
midostaurin,D,This drug is embryotoxic and embryolethal in pregnant animals. ,Antineoplastic Agents,Tyrosine kinase inhibitors,
migalastat hydrochloride,B3,,Alimentary System,,
miglitol,B3,,Endocrine System,Hypoglycaemic agents,
miglustat,D,This drug might be expected to cross the placenta and has shown to be embryotoxic in rats and rabbits.,Metabolism,Agents used for the treatment of metabolic disorders,
milnacipran,B3,,Central Nervous System,Antidepressants,
milrinone,B3,,Cardiovascular System,Cardiac inotropic agents,
minocycline,D,Tetracyclines are safe for use during the first 18 weeks of pregnancy (16 weeks post conception) after which they cause discolouration of the baby’s teeth. ,Antimicrobials,Antibiotics,Tetracyclines
minoxidil,C,This drug has been associated with hypertrichosis in the newborn infant following exposure in utero.,Cardiovascular System,Antihypertensives,
mirabegron,B3,,Genitourinary System,Bladder function disorders,
mirikizumab,B1,,Allergy and Immune System,Immunomodifiers,
mirtazapine,B3,,Central Nervous System,Antidepressants,
misoprostol,X,This drug can produce serious birth defects. It also can cause miscarriage that could lead to potentially dangerous bleeding.,Alimentary System,"Hyperacidity, reflux, ulcers",
mitomycin,D,"Cytotoxic agents can produce spontaneous abortion, fetal loss and birth defects.",Antineoplastic Agents,Antibiotic cytotoxic agents,
mitozantrone,D,"Cytotoxic agents can produce spontaneous abortion, fetal loss and birth defects.",Antineoplastic Agents,Antibiotic cytotoxic agents,
mivacurium,B2,,Drugs Used in Anaesthesia,Neuromuscular blocking agents,
mobocertinib succinate,D,"Based on its mechanism of action and data from animal studies (embryo-fetal death and decreased fetal weight in  pregnant rats treated during the period of organogenesis), mobocertinib can cause fetal harm when administered during pregnancy.",Antineoplastic Agents,,
moclobemide,B3,,Central Nervous System,Antidepressants,
modafinil,D,This drug is embryotoxic and fetotoxic when administered to pregnant rats and rabbits. It also decreased viability in the offspring when administered to pregnant rats.,Central Nervous System,CNS stimulants,
mogamulizumab,C,"There are no data from the use in pregnant women. In pregnant cynomolgus monkeys, mogamulizumab did not cause malformations, embryofetal lethality or growth retardation. However, mogamulizumab was shown to cross the placental barrier, and this resulted in pharmacological activity in the foetuses, evident as a decrease in CCR4-expressing lymphocytes. Mogamulizumab is not recommended during pregnancy unless the potential benefit for the mother outweighs the potential risk to the foetus.",Antineoplastic Agents,Monoclonal antibodies,
molgramostim,B3,,Blood and Haemopoietic System,Haemopoietic agents,
molnupiravir,D,"Based on animal data, molnupiravir may cause fetal harm when administered to pregnant women.",Antimicrobials,Antiviral agents,
momelotinib ,D,"Momelotinib is contraindicated in pregnancy. Malformations, embryofetal lethality and other adverse effects were observed with momelotinib in animals at clinically relevant exposure levels.",Antineoplastic Agents,Tyrosine kinase inhibitors,
mometasone,B3,,Endocrine System,Corticosteroids,Topical
montelukast,B1,,Respiratory System,,
moroctocog alfa (factor VIII - rch),B2,,Cardiovascular System,Haemostatic agents,
morphine,C,Opioid analgesics may cause respiratory depression in the newborn infant. Withdrawal symptoms in newborn infants have been reported with prolonged use of this class of drugs.,Central Nervous System,Analgesics and Antipyretics (see also non-steroidal anti-inflammatory agents),Opioid analgesics
moxifloxacin,B3,,Antimicrobials,Antibiotics,Quinolones
moxonidine,B3,,Cardiovascular System,Antihypertensives,
"multicomponent meningococcal group B vaccine (recombinant, adsorbed)",B1,,Vaccines,Subunit vaccines,Polysaccharide conjugate vaccines
mupirocin,B1,,Antimicrobials,Antibiotics,
mustine,D,"Cytotoxic agents can produce spontaneous abortion, fetal loss and birth defects.",Antineoplastic Agents,Alkylating agents,
mycophenolate mofetil,D,"It inhibits nucleic acid synthesis and may cause fetal malformations/death. Congenital malformations, including ear malformations i.e. abnormally formed or absent external/middle ear, have been reported in children of patients exposed to mycophenolate mofetil in combination with other immunosuppressants during pregnancy.",Allergy and Immune System,Immunomodifiers,
mycophenolic acid,D,"It inhibits nucleic acid synthesis and may cause fetal malformations/death. Congenital malformations, including ear malformations i.e. abnormally formed or absent external/middle ear, have been reported in children of patients exposed to mycophenolate mofetil in combination with other immunosuppressants during pregnancy.",Allergy and Immune System,Immunomodifiers,
nabiximols,B2,,Central Nervous System,,
nabumetone,C,"Non-steroidal anti-inflammatory (NSAIDs) agents inhibit prostaglandin synthesis which may adversely affect pregnancy. Refer to the relevant texts in the Product Information of individual NSAID products for information regarding the suitability for use in pregnancy. 

Epidemiological studies suggest an increased risk of spontaneous abortion after use of prostaglandin synthesis inhibitors in early pregnancy.

When given during the latter part of pregnancy, may cause closure of the fetal ductus arteriosus, oligohydramnios, fetal renal impairment, inhibition of platelet aggregation, and delay labour and birth.

Continuous treatment with NSAIDs during the last trimester of pregnancy should only be given on sound indications. During the last few days before expected birth, agents with an inhibitory effect on prostaglandin synthesis should be avoided.",Musculoskeletal System,Non-steroidal anti-inflammatory drugs (NSAIDS),
nadroparin,C,All anticoagulants and thrombolytic agents can produce placental haemorrhage and subsequent prematurity and fetal loss.,Cardiovascular System,Anticoagulants and thrombolytic agents,
nafarelin,D,There is a theoretical risk of abortion or fetal abnormality if GnRH agonists are used during pregnancy. ,Endocrine System,Pituitary hormones,
nalidixic acid,A,,Antimicrobials,Antibiotics,
naloxone,B1,,"Detoxifying Agents, Antidotes ",,
naltrexone,B3,,Agents used in dependency states,,
nandrolone,D,Anabolic steroids and other substances with androgenic effects may have a virilising effect on the female fetus and should be avoided during pregnancy.,Endocrine System,Androgens and anabolic steroids,
naproxen,C,"Non-steroidal anti-inflammatory (NSAIDs) agents inhibit prostaglandin synthesis which may adversely affect pregnancy. Refer to the relevant texts in the Product Information of individual NSAID products for information regarding the suitability for use in pregnancy. 

Epidemiological studies suggest an increased risk of spontaneous abortion after use of prostaglandin synthesis inhibitors in early pregnancy.

When given during the latter part of pregnancy, may cause closure of the fetal ductus arteriosus, oligohydramnios, fetal renal impairment, inhibition of platelet aggregation, and delay labour and birth.

Continuous treatment with NSAIDs during the last trimester of pregnancy should only be given on sound indications. During the last few days before expected birth, agents with an inhibitory effect on prostaglandin synthesis should be avoided.",Musculoskeletal System,Non-steroidal anti-inflammatory drugs (NSAIDS),
naratriptan,B3,,Cardiovascular System,Antimigraine preparations,
natalizumab,C,,Allergy and Immune System,Immunomodifiers,
nateglinide,C,Sulphonylureas may enter the fetal circulation and may cause neonatal hypoglycaemia.,Endocrine System,Hypoglycaemic agents,
nebivolol,C,Beta-adrenergic blocking agents may cause pharmacological effects such as bradycardia in the fetus and newborn infant. ,Cardiovascular System,Beta-adrenergic blocking agents,
nedocromil,B1,,Respiratory System,Inhalational agents,Preventative aerosols and inhalations
nefazodone,B3,,Central Nervous System,Antidepressants,
nelarabine,D,Animal data indicate that exposure during pregnancy will likely lead to malformations of the fetus. ,Antineoplastic Agents,Antimetabolites,
nelfinavir,B2,,Antimicrobials,Antiviral agents,
neomycin,D,"There is evidence of selective uptake of aminoglycosides by the fetal kidney resulting in damage (probably reversible) to immature nephrons. Eighth cranial nerve damage has also been reported following in utero exposure to some of the aminoglycosides. Because of their chemical similarity, all aminoglycosides must be considered potentially nephrotoxic and ototoxic to the fetus. It should also be noted that therapeutic blood concentrations in the mother do not equate with safety for the fetus.",Antimicrobials,Antibiotics,Aminoglycosides
neostigmine,B2,,Drugs Used in Myasthenia Gravis,,
nepafenac,C,"Non-steroidal anti-inflammatory (NSAIDs) agents inhibit prostaglandin synthesis which may adversely affect pregnancy. Refer to the relevant texts in the Product Information of individual NSAID products for information regarding the suitability for use in pregnancy. 

Epidemiological studies suggest an increased risk of spontaneous abortion after use of prostaglandin synthesis inhibitors in early pregnancy.

When given during the latter part of pregnancy, may cause closure of the fetal ductus arteriosus, oligohydramnios, fetal renal impairment, inhibition of platelet aggregation, and delay labour and birth.

Continuous treatment with NSAIDs during the last trimester of pregnancy should only be given on sound indications. During the last few days before expected birth, agents with an inhibitory effect on prostaglandin synthesis should be avoided.",Musculoskeletal System,Non-steroidal anti-inflammatory drugs (NSAIDS),
neratinib,D,Studies in animals have shown embryofetal lethality and fetal morphological anomalies.,Antineoplastic Agents,,
neratinib maleate,D,"Studies in animals have shown embryofetal lethality and fetal abnormalities. The potential risk for humans is unknown. Neratinib is not recommended during pregnancy. If neratinib is used during pregnancy, or if the patient becomes pregnant while taking neratinib, the patient should be informed of the potential hazard to the fetus.",Antineoplastic Agents,,
netilmicin,D,"There is evidence of selective uptake of aminoglycosides by the fetal kidney resulting in damage (probably reversible) to immature nephrons. Eighth cranial nerve damage has also been reported following in utero exposure to some of the aminoglycosides. Because of their chemical similarity, all aminoglycosides must be considered potentially nephrotoxic and ototoxic to the fetus. It should also be noted that therapeutic blood concentrations in the mother do not equate with safety for the fetus.",Antimicrobials,Antibiotics,Aminoglycosides
netupitant / palonosetron,D,"In animals there were findings of reduced fetal weight and fetal abnormalities of the limbs, paws and ribs. There was also cleft palate and eye abnormalities in animals.",Central Nervous System,"Antiemetics, antinauseants",
nevirapine,B3,,Antimicrobials,Antiviral agents,
nicardipine,C,Calcium channel blockers carry the potential to produce fetal hypoxia associated with maternal hypotension.  ,Cardiovascular System,Antihypertensives,Calcium channel blockers
nicorandil,B3,,Cardiovascular System,Antiangina agents,
nicotine,D,The harmful effects of cigarette smoking on maternal and fetal health are clearly established. The specific effects of nicotine therapy on fetal development are unknown. Short-term exposure during the first trimester is unlikely to cause a hazard to the fetus.,Agents used in dependency states,,
nicotinic acid,B2,The physiological hyperlipidaemia of pregnancy does not require treatment.,Cardiovascular System,Hypolipidaemic agents,
nicotinic acid,B2,,Cardiovascular System,Vasodilators,
nicotinic acid,B2,,Vitamins ,,
nicotinyl alcohol,B1,,Cardiovascular System,Vasodilators,
nifedipine,C,"Calcium channel blockers carry the potential to produce fetal hypoxia associated with maternal hypotension. Acute pulmonary oedema has been observed when calcium channel blockers, among others nifedipine (primarily in IR formulation), have been used as a tocolytic agent during pregnancy, especially in cases of multiple pregnancy (twins or more), with the intravenous route and/or concomitant use of beta-2 agonists.",Cardiovascular System,Antihypertensives,Calcium channel blockers
nilotinib,D,This drug is embryotoxic and embryolethal in pregnant animals. ,Antineoplastic Agents,Tyrosine kinase inhibitors,
nimodipine,C,Calcium channel blockers carry the potential to produce fetal hypoxia associated with maternal hypotension.  ,Cardiovascular System,Antihypertensives,Calcium channel blockers
nintedanib esilate,D,Angiogenesis plays a key role in embryo-fetal development. It is teratogenic in pregnant animals. VEGF receptor inhibitors inhibit angiogenesis and can cause fetal harm when administered to pregnant women.,Antineoplastic Agents,Tyrosine kinase inhibitors,
niraparib,D,"Based on its mechanism of action, niraparib could cause embryonic or fetal harm, including embryo-lethal and teratogenic effects",Antineoplastic Agents,,
nirmatrelvir,B3,,Antimicrobials,Antiviral agents,
nirsevimab,B2,,Antimicrobials,Antiviral agents,
nisoldipine,C,Calcium channel blockers carry the potential to produce fetal hypoxia associated with maternal hypotension.  ,Cardiovascular System,Antihypertensives,Calcium channel blockers
nitisinone,B3,,Metabolism,Agents used for the treatment of metabolic disorders,
nitrazepam,C,"Benzodiazepines may cause hypotonia, respiratory depression and hypothermia in the newborn infant if used in high doses during labour. Withdrawal symptoms in newborn infants have been reported with prolonged use of this class of drugs.",Central Nervous System,Benzodiazepines,
nitric oxide,B2,,Cardiovascular System,Vasodilators,
nitrofurantoin (short term therapy),A,Caution should be exercised when administering nitrofurantoin at term because of the possibility of producing haemolytic anaemia in patients with glucose-6-phosphate dehydrogenase (G6PD) deficiency and due to immature enzyme systems in the early neonatal period.,Antimicrobials,Antibiotics,
nitrous oxide,A,"All general anaesthetics carry the potential to produce central nervous system and respiratory depression in the newborn infant. In routine practice this does not appear to be a problem. However, in the compromised fetus, careful consideration should be given to this potential depression and to the selection of particular anaesthetic drugs, doses and techniques.",Drugs Used in Anaesthesia,General anaesthetics,
nivolumab,D,"PD-1/PD-L1 is involved in fetomaternal tolerance. Administration during pregnancy may cause fetal harm, including abortion or stillbirth.",Antineoplastic Agents,Monoclonal antibodies,
nizatidine,B3,,Alimentary System,"Hyperacidity, reflux, ulcers",
nomegestrol with estradiol,B3,,Contraceptive Agents,,
nonacog alfa (rch),B2,,Cardiovascular System,Haemostatic agents,
nonacog gamma (rch),B2,,Cardiovascular System,Haemostatic agents,
nonoxinol 9,A,,Contraceptive Agents,Vaginal spermicides,
norelgestromin with ethinylestradiol,B3,,Contraceptive Agents,,
norethisterone,D,"If taken by the mother at or after 8 weeks post conception, these drugs can cause virilisation of the female fetus. This is a dose-dependent effect. Prior to 8 weeks post conception, they have no virilising effects.",Endocrine System,Progestogens (see also oral contraceptives),
norfloxacin,B3,,Antimicrobials,Antibiotics,Quinolones
nortriptyline,C,Withdrawal symptoms in newborn infants have been reported with prolonged maternal use of tricyclic antidepressants.,Central Nervous System,Antidepressants,Tricyclic antidepressants
nusinersen ,B1,,Musculoskeletal System,,
nystatin,A,,Antimicrobials,Antifungal agents (see also topical antifungals),
nystatin,A,,Genitourinary System,Topical vaginal medication,
obeticholic acid,B1,,Alimentary System,,
obinutuzumab,C,IgG antibodies are known to cross the placental barrier. This drug may affect embryofetal survival due to its pharmacological action.,Antineoplastic Agents,Monoclonal antibodies,
ocrelizumab  ,C  ,IgG antibodies are known to cross the placental barrier. This drug has the potential to affect embryofetal survival due to its pharmacological action.,Allergy and Immune System,Immunomodifiers,
ocriplasmin,B2,,Ophthalmic Drugs,,
octocog alfa (factor VIII - rch),B2,,Cardiovascular System,Haemostatic agents,
octoxinol,A,,Contraceptive Agents,Vaginal spermicides,
octreotide,C,"This drug may cause fetal growth retardation, probably due to suppression of growth hormone.  ",Endocrine System,Pituitary hormones,
oestrone,B1,,Endocrine System,Oestrogens (see also oral contraceptives),
ofatumumab (rmc),C,IgG antibodies are known to cross the placental barrier. This drug has the potential to affect embryofetal survival due to its pharmacological action.,Antineoplastic Agents,Monoclonal antibodies,
ofloxacin,B3,,Antimicrobials,Antibiotics,Quinolones
olanzapine,C,"Neonates exposed to antipsychotic drugs during the third trimester of pregnancy are at risk of experiencing extrapyramidal neurological disturbances and/or withdrawal symptoms following delivery. There have been reports of agitation, hypertonia, hypotonia, tremor, somnolence, respiratory distress and feeding disorder in these neonates.",Central Nervous System,Antipsychotic drugs,
olaparib,D,"Drugs which have caused, are suspected to have caused or may be expected to cause, an increased incidence of human fetal malformations or irreversible damage. These drugs may also have adverse pharmacological effects. Accompanying texts should be consulted for further details.",Antineoplastic Agents,,
olipudase alfa,D,"An increased incidence of a malformation (exencephaly) was observed when pregnant mice (but not rabbits) were treated with olipudase alfa. The relevance of this observation for humans is unknown. Olipudase alfa is not recommended during pregnancy and in women of childbearing potential not using effective contraception, unless the potential benefits to the mother outweigh the potential risks, including those to the fetus.",Metabolism,,
olmesartan,D,"When used in pregnancy during the second and third trimesters, drugs that act directly on the renin-angiotensin system can cause injury and even death in the developing fetus. Although no adverse fetal effects have been linked to first trimester drug use of ARAs, the number of exposures reported is too small to determine conclusively that ARAs are safe in the first trimester. Pregnant women who are taking ARAs should be changed as quickly as possible to other antihypertensive medication to maintain normal blood pressure. It is generally advisable not to use ARAs for the management of hypertension in women who are likely to become pregnant.",Cardiovascular System,Antihypertensives,Angiotensin II receptor antagonists and renin inhibitors
olodaterol (olodaterol hydrochloride),B3,,Respiratory System,Inhalational agents,Bronchospasm relaxants
olodaterol / tiotropium bromide,B3,,Respiratory System,Inhalational agents,
olopatadine,B1,,Ophthalmic Drugs,,
olsalazine,C,"Non-steroidal anti-inflammatory drugs inhibit prostaglandin synthesis and, when given during the latter part of pregnancy, may cause closure of the fetal ductus arteriosus, fetal renal impairment, inhibition of platelet aggregation, and delay labour and birth. Continuous treatment with non-steroidal anti-inflammatory drugs during the last trimester of pregnancy should only be given on sound indications. During the last few days before expected birth, agents with an inhibitory effect on prostaglandin synthesis should be avoided.",Alimentary System,Antidiarrhoeals,
omalizumab,B1,,Respiratory System,,
omega-3-acid ethyl esters 90,B1,,Cardiovascular System,Hypolipidaemic agents,
omeprazole,B3,,Alimentary System,"Hyperacidity, reflux, ulcers",
onasemnogene abeparvovec ,B2,,Musculoskeletal System,,
ondansetron,B1,,Central Nervous System,"Antiemetics, antinauseants",
opicapone,B2,,Central Nervous System,Antiparkinson agents,
opium alkaloids and derivatives,A,,Respiratory System,Antitussives,
"oral contraceptives, combined",B3,Accumulated evidence reports that inadvertent exposure to these agents in early pregnancy has not been associated with an increased risk of birth defects.,Contraceptive Agents,Oral contraceptives,
orciprenaline,A,,Cardiovascular System,Adrenergic stimulants,
orciprenaline ,A,,Respiratory System,Inhalational agents,Bronchospasm relaxants
orlistat,B1,Weight reduction using appetite suppressant drugs is not recommended in pregnancy.,Metabolism,Anorectic and weight reducing agents,
ornipressin,B3,,Cardiovascular System,Haemostatic agents,
orphenadrine,B2,,Musculoskeletal System,Muscle relaxants,
oseltamivir,B1,,Antimicrobials,Antiviral agents,
osilodrostat,D,"High doses of osilodrostat administered to pregnant rats during organogenesis increased embryonic and fetal deaths, decreased fetal weights and malformations. ",Endocrine System,Corticosteroids,
osimertinib,D,This drug inhibits EGFR. EGFR plays an important role in embryofetal development.,Antineoplastic Agents,Tyrosine kinase inhibitors,
oxaliplatin,D,"Cytotoxic agents can produce spontaneous abortion, fetal loss and birth defects.",Antineoplastic Agents,,
oxandrolone,D,Anabolic steroids and other substances with androgenic effects may have a virilising effect on the female fetus and should be avoided during pregnancy.,Endocrine System,Androgens and anabolic steroids,
oxazepam,C,"Benzodiazepines may cause hypotonia, respiratory depression and hypothermia in the newborn infant if used in high doses during labour. Withdrawal symptoms in newborn infants have been reported with prolonged use of this class of drugs.",Central Nervous System,Benzodiazepines,
oxcarbazepine,D,"This drug and its active metabolite (10-monohydroxy derivative, MHD) cross the human placenta. Oxcarbazepine is (structurally) closely related to carbamazepine, which is considered to be teratogenic in humans. This drug is teratogenic in rats.  The risk of having an abnormal child as a result of antiepileptic medication is far outweighed by the dangers to the mother and fetus of uncontrolled epilepsy. 
It is recommended that:
• women on antiepileptic drugs (AEDs) receive prepregnancy counselling with regard to the risk of fetal abnormalities;
• AEDs should be continued during pregnancy and monotherapy should be used if possible at the lowest effective dose as risk of abnormality is greater in women taking combined medication;
• folic acid supplementation (5mg) should be commenced four weeks prior to and continue for twelve weeks after conception;
• Specialist prenatal diagnosis including detailed mid-trimester ultrasound should be offered.",Central Nervous System,Anticonvulsants/antiepileptics,
oxpentifylline (pentoxifylline),B1,,Cardiovascular System,,
oxprenolol,C,Beta-adrenergic blocking agents may cause pharmacological effects such as bradycardia in the fetus and newborn infant. ,Cardiovascular System,Beta-adrenergic blocking agents,
oxybuprocaine,D,,Ophthalmic Drugs,,
oxybutynin,B1,,Genitourinary System,Bladder function disorders,
oxycodone,C,Opioid analgesics may cause respiratory depression in the newborn infant. Withdrawal symptoms in newborn infants have been reported with prolonged use of this class of drugs.,Central Nervous System,Analgesics and Antipyretics (see also non-steroidal anti-inflammatory agents),Opioid analgesics
oxycodone / naloxone,C,Opioid analgesics may cause respiratory depression in the newborn infant. Withdrawal symptoms in newborn infants have been reported with prolonged use of this class of drugs.,Central Nervous System,Analgesics and Antipyretics (see also non-steroidal and anti-inflammatory agents),Opioid analgesics
oxymetholone,D,Anabolic steroids and other substances with androgenic effects may have a virilising effect on the female fetus and should be avoided during pregnancy.,Endocrine System,Androgens and anabolic steroids,
oxyquinoline sulfate,A,,Drugs used in Dermatology,"Topical antifungals, antiseptics (see also antifungal agents)",
oxytetracycline,D,Tetracyclines are safe for use during the first 18 weeks of pregnancy (16 weeks post conception) after which they cause discolouration of the baby’s teeth.,Antimicrobials,Antibiotics,Tetracyclines
oxytocin,A,There have been instances of idiosyncratic sensitivity of the uterus resulting in fetal anoxia.,Genitourinary System,Agents acting on the uterus,
ozanimod,D,"This drug causes cardiovascular malformations, and post-implantation loss in rats and rabbits, consistent with its pharmacological mechanism of action.",Allergy and Immune System,,
paclitaxel,D,"Cytotoxic agents can produce spontaneous abortion, fetal loss and birth defects.",Antineoplastic Agents,Antimetabolites,
palbociclib,D,"Based on findings in animals and mechanism of action, palbociclib can cause fetal harm when administered to a pregnant woman.",Antineoplastic Agents,,
palifermin,B3,,Antineoplastic Agents,Non-cytotoxic supportive therapy,
paliperidone,C,"Neonates exposed to antipsychotic drugs during the third trimester of pregnancy are at risk of experiencing extrapyramidal neurological disturbances and/or withdrawal symptoms following delivery. There have been reports of agitation, hypertonia, hypotonia, tremor, somnolence, respiratory distress and feeding disorder in these neonates.",Central Nervous System,Antipsychotic drugs,
palonosetron,B1,,Central Nervous System,"Antiemetics, antinauseants",
palovarotene,X,"Palovarotene is contraindicated in pregnancy due to the potential of severe and life-threatening birth defects. Palovarotene was shown to produce fetal malformations typical of retinoids (e.g., cleft palate, malformed skull bone, shortening of the long bones) at subclinical exposure levels in rats.",Musculoskeletal System,,
pamidronate,B3,,Endocrine System,Agents affecting calcium and bone metabolism,Bisphosphonates
pancuronium,B2,,Drugs Used in Anaesthesia,Neuromuscular blocking agents,
panitumumab,C,IgG antibodies are known to cross the placental barrier. This drug may affect embryofetal survival due to its pharmacological action.,Antineoplastic Agents,Monoclonal antibodies,
panobinostat,D,"Drugs which have caused, are suspected to have caused or may be expected to cause, an increased incidence of human fetal malformations or irreversible damage. These drugs may also have adverse pharmacological effects. Accompanying texts should be consulted for further details.",Antineoplastic Agents,,
pantoprazole,B3,,Alimentary System,"Hyperacidity, reflux, ulcers",
papaveretum,C,Opioid analgesics may cause respiratory depression in the newborn infant. Withdrawal symptoms in newborn infants have been reported with prolonged use of this class of drugs.,Central Nervous System,Analgesics and Antipyretics (see also non-steroidal anti-inflammatory agents),Opioid analgesics
papaverine,B3,,Cardiovascular System,Vasodilators,
papaverine,B3,,Cholinergic and Anticholinergic Agents,,
paracetamol,A,,Central Nervous System,Analgesics and Antipyretics (see also non-steroidal anti-inflammatory agents),
paracetomol / tramadol,C,Opioid analgesics may cause respiratory depression in the newborn infant. Withdrawal symptoms in newborn infants have been reported with prolonged use of this class of drugs.,Central Nervous System,Analgesics and Antipyretics (see also non-steroidal and anti-inflammatory agents),
paraldehyde,D,This drug readily diffuses across the placenta and has been known to cause respiratory depression in neonates.,Central Nervous System,Hypnotics and sedatives,
parecoxib,C,"Non-steroidal anti-inflammatory (NSAIDs) agents inhibit prostaglandin synthesis which may adversely affect pregnancy. Refer to the relevant texts in the Product Information of individual NSAID products for information regarding the suitability for use in pregnancy. 

Epidemiological studies suggest an increased risk of spontaneous abortion after use of prostaglandin synthesis inhibitors in early pregnancy.

When given during the latter part of pregnancy, may cause closure of the fetal ductus arteriosus, oligohydramnios, fetal renal impairment, inhibition of platelet aggregation, and delay labour and birth.

Continuous treatment with NSAIDs during the last trimester of pregnancy should only be given on sound indications. During the last few days before expected birth, agents with an inhibitory effect on prostaglandin synthesis should be avoided.",Musculoskeletal System,Non-steroidal anti-inflammatory drugs (NSAIDS),
paricalcitol,C,,Endocrine System,Agents affecting calcium and bone metabolism,
paritaprevir / ritonavir / ombitasvir,B3,,Antimicrobials,Antiviral agents,
